plot_label,node_id,node_type,start_seconds,end_seconds,display_entity_name,description
"Ambiguous:
Badger/Fox",Entity-116317e6a24031a83a9ae4e05b367c57,entity,,,"Ambiguous:
Badger/Fox","A smaller animal, possibly a fox, standing and observing the badger's activities."
"E1771
09:32:24-09:32:48
Badger forages on forest
floor",Event-2e970b72997c0d072381d354bde1f157,event,34344.0,34368.0,,"The video captures a serene nighttime scene in various natural environments, featuring groups of animals engaged in their nocturnal activities. The setting includes wooded areas with prominent trees, dense foliage, and rocky terrains, all illuminated by the camera's light. The first segment showcases a group of badgers foraging and interacting near a tree in a winter setting, exhibiting typical foraging behavior and social interaction. The second segment continues with a group of badgers in a forested area, actively foraging on a rocky terrain, demonstrating their deliberate and focused movements. The third segment shifts to a group of raccoons in a dense woodland, rummaging through a pile of debris for food. The fourth segment features a group of animals, possibly wild boars, moving through a rocky terrain in a night vision effect, highlighting their natural behaviors in their habitat. Each segment captures the animals' presence and activity, creating a captivating contrast between the tranquility of the night and the dynamic interaction of the animals, emphasizing their resilience and adaptability in their natural environments."
"Ambiguous:
Badger/Fox",Entity-cf4020a6655bd26fd9a59ff25293de92,entity,,,"Ambiguous:
Badger/Fox","A smaller, furrier animal, likely a fox, with a slender body and pointed ears. It seems to be moving away from the badger."
"E1772
09:32:48-09:33:09
Badger forages on forest
floor",Event-c93076c2fd5b561f75915b2635246f5e,event,34368.0,34389.0,,"The video captures a series of serene nighttime scenes in a forested area, featuring various animals including raccoons, badgers, and a dog. Initially, the video showcases a raccoon emerging from the left side of the frame, moving cautiously across the rocky terrain, with its fur contrasting against the muted tones of the environment. A dog, partially visible in the background, remains stationary, adding intrigue to the scene. The setting includes a large, leafless tree in the center, and the ground is covered with a mix of rocks and dry leaves, creating a textured foreground. The raccoon's deliberate movements suggest it is searching for food or exploring its surroundings. The scene then transitions to a group of badgers foraging on the ground, with one digging into the earth while another stands nearby, observing the badger's actions. The forest around them is dense with trees and foliage, creating a natural habitat for these nocturnal creatures. The camera remains stationary, providing a continuous view of the animals' actions. The video continues to show a group of badgers foraging in a forested area, with one prominently in the foreground actively eating from a pile of food, while others are scattered in the background. The setting is characterized by a mix of rocky terrain and dense vegetation, with a large tree standing as a central landmark in the background. The overall atmosphere of the video is peaceful and quiet, with the animals' presence adding a touch of life to the otherwise still forest."
"E1768
09:31:57-09:32:00
Badger feeds near the
trees",Event-2e90661ee846c5415942cd3a4656176b,event,34317.0,34320.0,,"The video captures a serene nighttime scene in a forest setting. The camera remains stationary throughout, focusing on a group of animals that appear to be feeding on a rocky surface scattered with debris. Among the creatures are a fox and two badgers, all engaged in their nocturnal activities. The fox is positioned on the right, partially obscured by the brush, while the two badgers are situated on the left. The badgers exhibit a distinctive black and white fur pattern, indicative of their species. The fox, on the other hand, boasts a reddish-brown coat. The animals are scattered across the frame, with the fox appearing to move slightly, while the badgers remain relatively stationary. The lighting is dim, creating a dark and moody atmosphere typical of night-time wildlife footage. This scene remains consistent across the frames, emphasizing the peaceful coexistence of these nocturnal creatures in their natural habitat."
"Ambiguous:
Badger/Fox",Entity-9893a945ec2f36717f6278a78e448a49,entity,,,"Ambiguous:
Badger/Fox","A smaller animal with reddish fur, likely a fox, standing on the ground. Its body is covered with fur, and it is positioned near the badger."
"E1774
09:33:33-09:33:42
Badger forages on forest
floor",Event-94d247b2c3973794a463e82f8b214d21,event,34413.0,34422.0,,"The video captures a serene nighttime scene in a forested area, illuminated by a night vision camera. A group of badgers is the focal point, engaging in their natural behaviors, primarily foraging on the forest floor scattered with rocks, twigs, and other natural debris. One badger is particularly active, moving around the area, while another is more stationary, possibly observing its surroundings. The third badger is partially obscured by the rocks but its presence is evident. The badgers' movements are slow and deliberate, typical of their cautious nature, and the forest setting is dense with trees and underbrush, providing a natural habitat for these animals. The lighting is dim, emphasizing the nocturnal setting, and the camera remains stationary, allowing viewers to observe the badgers' behavior without interruption. The scene is peaceful and quiet, with only the occasional rustling of leaves or the distant sounds of nature breaking the silence, creating a calm and serene atmosphere."
"E1765
09:31:06-09:31:30
Badger forages on forest
floor",Event-154fba8bc75d48454e889f4bed43664d,event,34266.0,34290.0,,"The video showcases a serene nighttime scene in a forested area, illuminated by a motion-activated camera. A group of animals, possibly wild boars, are seen moving through the underbrush and rocky path. The first frame shows a large tree in the center, with two animals, one on the left and one on the right, standing near the base of the tree. As the video progresses, the animals move closer to the tree, with the one on the left moving further away and the one on the right moving closer, almost touching the base of the tree. The scene is peaceful and serene, with the animals moving gracefully through the forest. The video then transitions to a similar setting, featuring a group of animals, likely badgers, exploring a rocky area with a large tree in the center. The animals are seen moving slowly, with one sniffing the ground, possibly searching for food or scent. The lighting is dim, capturing the scene in grayscale tones. The animals' movements are deliberate and cautious, indicating their awareness of their surroundings. The video provides a glimpse into the nocturnal behavior of these animals in their natural habitat, emphasizing the quiet and stillness of the night. The scene then shifts to a nocturnal scene in a dark, wooded area, where a group of four animals, likely a family of foxes, are engaged in foraging or searching for food. The environment is dense with trees and underbrush, and the lighting is dim, suggesting nighttime. The animals' movements are subtle, with occasional shifts in their positions as they continue their search. The scene exudes a sense of tranquility, as the animals go about their nocturnal activities undisturbed. The video then captures a nighttime scene in a forested area, featuring a group of animals, likely wild boars, grazing or foraging on the ground. The environment is dimly lit, with the primary light source appearing to be from a camera trap, capturing the animals in black and white. The animals are scattered across the frame, engaged in their natural behavior. The ground is uneven, covered with rocks and patches of grass, and a large tree stands prominently in the background, adding to the sense of a secluded, natural habitat. The animals' movements are slow and deliberate, suggesting a calm and undisturbed setting. The scene remains consistent throughout the video, with the animals continuing their activities in the same location, providing a snapshot of their nocturnal behavior in a forested environment. The video then transitions to a serene nighttime scene in a wooded area, illuminated by the soft glow of a trail camera. The camera is positioned low to the ground, providing a ground-level perspective of the scene. The environment is dark and shadowy, but the camera captures the details of the terrain, including a large tree with a thick trunk and a wide, sprawling branch extending across the frame. The ground is covered with rocks and patches of grass, adding texture to the scene. In the foreground, a group of animals, possibly wild boars, are scattered across the frame. They are seen moving slowly and deliberately, their forms slightly blurred due to the camera's focus on the ground. Their movements are slow and methodical, suggesting a cautious exploration of the area. The animals' presence adds a sense of life and activity to the otherwise still scene. As the video progresses, the animals remain in the same general area, occasionally shifting slightly in their positions. The camera remains stationary, capturing the animals' movements as they navigate the terrain. The overall atmosphere of the video is one of quiet observation, with the animals' slow movements and the stillness of the night creating a sense of calm and tranquility. The video concludes with the animals still moving slowly and methodically, their forms slightly blurred against the dark backdrop of the night. The video sequence showcases a nocturnal wildlife scene, likely captured using a motion-activated camera, given the timestamp ""21:20"" in the bottom-left corner. The setting is a forested area with a prominent tree in the center, surrounded by dark foliage and scattered rocks on the ground. Throughout the video, a group of animals, possibly badgers, are seen moving around the area. The main focus is on a large, dark-colored animal, likely a badger, which is consistently active, moving from left to right across the frame. Its fur appears dense and dark, contrasting sharply with the surrounding environment. The other animals, smaller and lighter in color, are scattered in the background, some near the tree and others closer to the rocks. Their movements are subtle, suggesting a calm and quiet atmosphere. The video captures the natural behavior of these animals in their habitat, providing a glimpse into their nocturnal activities without any human interference."
"E1764
09:30:48-09:31:06
Badger forages on forest
floor",Event-8b592835c790ffd60878574e730d2343,event,34248.0,34266.0,,"The video captures a serene nighttime scene in a forested area, illuminated by a single light source, possibly a camera or a flashlight. Two animals, possibly badgers, are seen foraging on the forest floor, moving around the rocky terrain and sniffing and inspecting their surroundings. The forest is dense with trees and underbrush, creating a natural habitat that provides ample cover for the animals. The lighting is low, suggesting that the video was taken at night, possibly using a night vision camera. The animals exhibit typical foraging behavior, searching for food or exploring their environment. The overall atmosphere is peaceful and undisturbed, with the animals appearing at ease in their natural habitat. The video provides a glimpse into the lives of these animals, showcasing their behavior and the environment they inhabit."
"E1770
09:32:12-09:32:24
Badger forages on forest
floor",Event-6f0e83399be89660783e229ea5d0f48a,event,34332.0,34344.0,,"In a nighttime setting, illuminated by artificial light, a tranquil woodland scene unfolds, featuring a group of animals that appear to be a mix of wild boars or similar large mammals scattered across a rocky terrain. The scene is dominated by a large tree, its branches forming a natural canopy, with the ground covered in rocks and patches of grass. The animals are engaged in various activities, such as foraging or moving around, with their large, robust bodies contrasting against the rocky surroundings. The video captures the gentle and deliberate movements of the animals, emphasizing the calm and undisturbed atmosphere. Despite the artificial lighting, the overall environment remains quiet and undisturbed, with no sign of human presence or interference. The timestamp in the corner indicates that the footage is captured at 21:21, suggesting it is late in the evening. The scene also includes a nocturnal woodland setting with a stationary camera providing a steady view of a tree with branches spreading out, covering the ground with rocks and patches of grass, and three badgers that are the main focus. Initially, one badger is seen walking on the left side of the frame, moving towards the center, while another is near the center, close to the tree, and appears to be foraging or searching for food. The third badger is on the right side of the frame, moving in the opposite direction, away from the camera. The camera captures the badgers' movements and their interaction with the environment, providing a detailed and immersive view of their nocturnal behavior."
"E1766
09:31:30-09:31:45
Badger forages on forest
floor",Event-0607cd776c9128853749391a70546e9c,event,34290.0,34305.0,,"The video captures a tranquil nocturnal scene in a dense, wooded area, where a group of badgers is seen foraging for food. The setting is dark, illuminated by a night vision camera, providing a monochromatic view of the environment. The badgers, with their distinctive black and white fur, are scattered across the scene, some standing on rocks, others on the ground, all engaged in their feeding activity. The badgers move slowly and deliberately, carefully examining the ground and rocks for food, showcasing their natural instinct for survival. The terrain is uneven, with rocks and branches scattered around, and a large tree stands tall in the background, adding depth to the scene. The overall atmosphere is peaceful, with the badgers going about their nocturnal activities undisturbed. The video provides a glimpse into the life of these fascinating creatures in their natural habitat, highlighting their behavior and interactions in their dense woodland environment."
"E1773
09:33:09-09:33:33
Badger rests in the
clearing",Event-a4c5748853b9b1098288b53db878abe9,event,34389.0,34413.0,,"In a nocturnal woodland setting, three badgers are captured in a sequence of frames, each showcasing their distinct behaviors and interactions. The scene begins with the badgers dispersed across the rocky ground, each engaged in separate activities. The first badger, positioned on the left, is seen sniffing the ground, possibly searching for food or scent markers. Meanwhile, the second badger, located in the center, is observed standing upright, perhaps vocalizing or communicating with its companions. The third badger, situated on the right, is depicted in a relaxed posture, possibly resting or observing its surroundings. As the video progresses, the badgers maintain their individual activities, with subtle movements and changes in posture reflecting their natural behaviors. The background remains consistent, featuring a large tree and dense foliage, providing a serene and natural habitat for the badgers. The time stamp ""21:22"" remains visible throughout the sequence, indicating the continuous passage of time and the seamless nature of the video."
"E1769
09:32:00-09:32:12
Badger approaches camera",Event-05a9feae4c834060adb73c7105438522,event,34320.0,34332.0,,"In a nocturnal forest setting, a group of badgers is engaged in various activities, including foraging for food and exploring their territory. The first segment shows two badgers, one initially standing near a prominent tree and gradually approaching the other, their movements fluid and deliberate, set against a backdrop of dense foliage and a large tree. The second segment captures a group of badgers gathered around a rocky area, with their distinctive black and white fur and methodical movements reflecting their natural foraging behavior, illuminated by a single light source casting a soft glow over the landscape. The third segment continues to depict the badgers' activities, with several of them actively foraging on the ground, their fur patterns and movements highlighted by the low-angle camera perspective, set against a backdrop of a large tree and dense foliage, creating a serene and natural environment."
