display_id,node_id,start,end,description
E4777,Event-9306cb73b5e0292ce800ca24e3e799ca,45975.0,45978.0,"The video captures a bustling urban street intersection, viewed from a high vantage point. A green bus, with a distinct yellow stripe, dominates the left side of the frame, moving slowly across the intersection. In the center, a silver car follows closely behind the bus, its brake lights on, suggesting it is preparing to stop. On the right, a black car is seen moving away from the intersection. The scene is enriched by the presence of pedestrians on the sidewalk, some walking and others standing, adding a dynamic human element to the urban landscape. The background showcases a mix of greenery and urban infrastructure, with trees and buildings framing the scene. The timestamp ""Mon Sep 11 2017 16:01:16"" is consistently visible, indicating the video's capture of a specific moment in time."
E4778,Event-37df110276be3f282a38adf5b07dfcb6,45978.0,45981.0,"The video captures a bustling urban intersection, showcasing a series of traffic scenes under a clear sky. The camera, positioned high above the road, provides a bird's-eye view of the intersection, capturing the flow of vehicles and pedestrians. The road is lined with trees and a few buildings, adding to the urban atmosphere. In the first frame, a green bus is seen driving towards the intersection, while a white car is approaching the crosswalk. The traffic light is red, indicating that the white car must stop. As the video progresses, the green bus continues to move forward, while the white car stops at the intersection. In the second frame, the green bus is still moving, while the white car remains stationary. The traffic light remains red, signaling that the white car must stop. In the third frame, the green bus has reached the intersection, while the white car remains stopped. The traffic light is still red, indicating that the white car must stop. In the fourth frame, the green bus has completed its turn at the intersection, while the white car remains stationary. The traffic light remains red, signaling that the white car must stop. In the fifth frame, the green bus has completed its turn and is now moving away from the intersection, while the white car remains stationary. The traffic light remains red, indicating that the white car must stop. In the sixth frame, the green bus is now further away from the intersection, while the white car remains stationary. The traffic light remains red, signaling that the white car must stop. Throughout the video, the traffic flow is steady, with vehicles and pedestrians moving in an orderly fashion. The high-angle perspective provides a clear view of the intersection, capturing the interactions between vehicles and the traffic lights. The surrounding environment, with trees and buildings, adds to the urban setting."
E4779,Event-e676037f61876d3af292e8021c83df81,45981.0,45987.0,"The video captures a busy intersection from a high vantage point, likely a security camera, offering a panoramic view of the scene. Various vehicles and pedestrians are present, including a white SUV driving through the intersection, a green bus, and a black car on the left side of the frame, as well as a red car driving on the right side and another black car further down the road. A group of pedestrians can be seen crossing the street. The scene is dominated by a mix of vehicles and pedestrians, with a silver SUV moving from left to right and a red car parked on the right side of the frame, partially obscured by a large black structure that appears to be a street sign or traffic control device. The background reveals a mix of trees and urban structures, suggesting the location is in a suburban or urban area. The timestamp on the video indicates that the sequence of frames was captured on September 11, 2017, at 16:01:22."
E4780,Event-fc9331f8b8c2315f0dbe4e070c9fb5d8,45987.0,45990.0,"At 16:01:28, a silver minivan is stopped at a traffic light, its front end slightly angled towards the left. The minivan's brake lights are illuminated, indicating it is stationary. In the background, a green and gold bus is also stopped at the same traffic light, positioned to the left of the minivan. Both vehicles are waiting for the light to change. The traffic light is clearly visible, hanging from a pole, and appears to be red. The intersection is busy with other vehicles and pedestrians. As the frames progress, the minivan remains stationary, and the bus begins to move forward, indicating that the traffic light has likely changed. The surroundings, including the road, other vehicles, and the traffic light, remain consistent throughout the video."
E4781,Event-056fcf601a43e6a86822e78352d836a2,45990.0,45993.0,"The video captures a bustling urban scene, focusing on a busy intersection. A green and gold bus is prominently featured, moving from left to right across the frame, indicating its journey through the city. In the background, a red and white car is visible, moving in the opposite direction. The intersection is lined with trees, adding a touch of nature to the urban setting. A person is seen crossing the street, adding a dynamic element to the scene. A black car drives past the bus, while a white car is seen further down the road. The video provides a snapshot of city life, capturing the movement and activity of vehicles and pedestrians."
E4782,Event-d139391dbf6413b98d078bcfeca5caba,45993.0,46011.0,"The video captures a bustling urban intersection, likely taken from a security camera or a surveillance system, on Monday, September 11, 2017, at 16:01:35. A green and yellow bus, identified as number 869, is prominently featured in the foreground, moving along the road and navigating through the busy intersection. The bus is stationary at one point, suggesting it might be waiting for passengers or at a bus stop, while the surrounding environment is filled with various vehicles, including a silver car and a black car, moving through the intersection. In the background, there are trees and a building, contributing to the urban setting. The scene is lively, with the movement of vehicles and the presence of pedestrians creating a sense of dynamism. The video showcases a green bus with the number 869 prominently displayed on its side, dominating the foreground, while a silver car drives away from the bus. The street is lined with trees, adding a touch of greenery to the urban landscape. On the sidewalk, a group of pedestrians is gathered, possibly waiting for a bus or simply enjoying a stroll. The surrounding environment includes trees and buildings, adding to the urban atmosphere. The video appears to be taken from an elevated perspective, offering a comprehensive view of the intersection and its surroundings. The timestamp in the bottom left corner suggests that the video was recorded on September 11, 2017, at 16:01:42. The camera remains stationary throughout the video, providing a consistent view of the intersection and its activity."
E4783,Event-e734982ae43fa27d2b613240a98aabd8,46011.0,46029.0,"The video captures a bustling urban intersection, likely in a residential or mixed-use area, with a focus on the flow of vehicles and pedestrians. The scene is dominated by a wide road intersection, with multiple lanes of traffic moving in different directions. Cars are seen moving through the intersection, some turning, others driving straight, creating a dynamic interplay of motion. The surrounding environment includes trees, a bus stop, and a bus, indicating a well-connected public transportation system. Pedestrians are crossing the street at designated crosswalks, adding to the dynamic human activity. The video also showcases a busy street scene from an overhead perspective, likely from a surveillance camera, with a group of pedestrians crossing the street and navigating the crosswalk with caution. A green bus is visible on the left side of the frame, moving slowly due to the pedestrians crossing. The surrounding environment includes trees and buildings, indicating an urban setting. The camera remains stationary, providing a consistent view of the street and the pedestrians crossing. The overall atmosphere reflects a typical day in a busy city, with vehicles and pedestrians sharing the space, and the role of public transportation in the area."
E4784,Event-f0c30ac011a97cf0a093bc3032658a0a,46029.0,46041.0,"The video captures a busy intersection with multiple lanes of traffic, featuring various vehicles and pedestrians. A red car is prominently seen driving through the intersection, followed by a black car that drives away. Several pedestrians are walking on the sidewalks and crossing the street, while a motorcycle is also visible navigating the intersection. The background includes a mix of trees and buildings, with a traffic light and parked cars visible on the side of the road. The camera remains stationary, providing a consistent perspective of the intersection and the vehicles passing through it, with the scene well-lit, indicating that the video was likely taken during the day. The video is timestamped with the date and time of the recording, indicating that the footage was captured on September 11, 2017, at 16:02:17."
E4785,Event-8df5c1d1061361cd5edcfaeb0423cf33,46041.0,46053.0,"The video captures a dynamic street scene, likely from a security camera perspective, focusing on a bustling intersection. Vehicles of various colors navigate the intersection, including a red car on the left and a white car further ahead. A black vehicle is prominently positioned in the foreground, facing the camera. The scene is framed by a mix of trees and utility poles, suggesting an urban or suburban setting. The video showcases the constant movement of vehicles and people, creating a sense of energy and activity, with the camera angle providing a wide view of the intersection and the flow of traffic and the movement of people. The surroundings include trees and a fence, with the timestamp indicating the video was recorded on September 11, 2017."
E4786,Event-48d8f0cbd685cd7586df518ab709920e,46053.0,46056.0,"The video captures a bustling urban intersection, showcasing a continuous flow of vehicular traffic. The scene is framed by a network of overhead power lines and utility poles, which crisscross the frame, adding a layer of urban complexity to the composition. The intersection itself is a focal point, with a variety of vehicles, including cars and a distinctive yellow bus, navigating the turns and stops. The vehicles move in different directions, some turning, others proceeding straight, creating a dynamic interplay of movement. The surrounding environment is rich with greenery, with trees and bushes framing the background and adding a natural contrast to the urban setting. The video captures the essence of urban life, where nature and infrastructure coexist, with the vehicles and traffic serving as the primary subjects of the scene. The video does not show any specific actions or notable changes, but the continuous flow of traffic and the interplay of movement create a sense of rhythm and energy, capturing the constant motion of the urban landscape."
E4787,Event-6bdff65e598255879f9797eaf05c3d9c,46056.0,46059.0,"The video captures a serene intersection scene, showcasing various vehicles navigating the busy road. Initially, a red car is seen driving towards the intersection, while a white car is parked on the right side of the road. As the video progresses, a yellow school bus and a green bus appear, with the school bus moving forward and the green bus stationary. Meanwhile, the red car continues its journey, eventually exiting the frame. The scene remains consistent throughout the video, with the red car and the white car remaining in their respective positions, while the yellow and green buses continue their respective movements, creating a dynamic yet orderly traffic flow."
